t,ustar
19200.5,0.4697860002809914
19201.0,0.469776576193345
19201.5,0.46976710695840923
19202.0,0.46975755912920203
19202.5,0.4697479528497728
19203.0,0.469738256898592
19203.5,0.46972850281687856
19204.0,0.4697187311002193
19204.5,0.4697088634419868
19205.0,0.4696989362355884
19205.5,0.4696889665480089
19206.0,0.4696789438588252
19206.5,0.4696688593471027
19207.0,0.46965874569644894
19207.5,0.46964858409556876
19208.0,0.469638381614758
19208.5,0.4696281190779309
19209.0,0.46961782531101104
19209.5,0.4696074855059908
19210.0,0.46959712972404416
19210.5,0.469586735855959
19211.0,0.4695762984004715
19211.5,0.4695658292862698
19212.0,0.46955536249674473
19212.5,0.46954486504064524
19213.0,0.46953434591443566
19213.5,0.46952382606015236
19214.0,0.46951327635602835
19214.5,0.4695027371604893
19215.0,0.46949223295992665
19215.5,0.4694817134383282
19216.0,0.4694712037571674
19216.5,0.46946073383794673
19217.0,0.46945028470146566
19217.5,0.469439867017637
19218.0,0.4694294869821791
19218.5,0.4694191421518358
19219.0,0.46940887590645153
19219.5,0.4693986706062352
19220.0,0.46938853913038675
19220.5,0.4693784793386697
19221.0,0.46936851255292106
19221.5,0.4693586119586673
19222.0,0.46934881787492516
19222.5,0.469339140531787
19223.0,0.4693295910821788
19223.5,0.4693201274630832
19224.0,0.46931080292560184
19224.5,0.4693016181306336
19225.0,0.46929257328198226
19225.5,0.46928368333967413
19226.0,0.4692749680654076
19226.5,0.4692663868939637
19227.0,0.46925796777389467
19227.5,0.4692497454070908
19228.0,0.46924168969504987
19228.5,0.4692337838688592
19229.0,0.4692260922456195
19229.5,0.4692185755511113
19230.0,0.4692112535033222
19230.5,0.46920408064652375
19231.0,0.46919712202589053
19231.5,0.4691903524751202
19232.0,0.4691837655813895
19232.5,0.46917736667495047
19233.0,0.46917116417132326
19233.5,0.4691651608273301
19234.0,0.46915933316551695
19234.5,0.46915366046809515
19235.0,0.4691481547206923
19235.5,0.4691428696715797
19236.0,0.4691377712103831
19236.5,0.46913281105460214
19237.0,0.4691280419251835
19237.5,0.46912342173662325
19238.0,0.46911897387243584
19238.5,0.4691146892459488
19239.0,0.46911059387601706
19239.5,0.46910661431528594
19240.0,0.4691027667622107
19240.5,0.46909906725800893
19241.0,0.46909553247121805
19241.5,0.469092137558649
19242.0,0.46908883953644503
19242.5,0.4690856799315569
19243.0,0.4690826512557513
19243.5,0.4690797468369075
19244.0,0.4690769417435335
19244.5,0.469074224338568
19245.0,0.4690716176853436
19245.5,0.4690691128818046
19246.0,0.46906672415895734
19246.5,0.46906440860140663
19247.0,0.46906219016394096
19247.5,0.46906003752869313
19248.0,0.4690579568725304
19248.5,0.4690559768121833
19249.0,0.4690540768035337
19249.5,0.46905224379904703
19250.0,0.4690504796101434
19250.5,0.4690487562751591
19251.0,0.46904708951910895
19251.5,0.4690455120153346
19252.0,0.46904400174420807
19252.5,0.46904253602345947
19253.0,0.4690411263726169
19253.5,0.4690397779585643
19254.0,0.4690385137172244
19254.5,0.4690372787773591
19255.0,0.4690361149514967
19255.5,0.46903499324969705
19256.0,0.46903390694021596
19256.5,0.4690328960949253
19257.0,0.46903194409721977
19257.5,0.4690310279252189
19258.0,0.46903015490987904
19258.5,0.46902932789488494
19259.0,0.46902855237643853
19259.5,0.46902779376938253
19260.0,0.4690270688399
19260.5,0.46902638665664725
19261.0,0.4690257378730767
19261.5,0.4690251062625178
19262.0,0.4690245224425885
19262.5,0.46902393840944945
19263.0,0.4690233423269648
19263.5,0.4690227821998327
19264.0,0.46902223228113127
19264.5,0.4690216510882067
19265.0,0.46902106519179426
19265.5,0.4690204714923455
19266.0,0.4690198621394347
19266.5,0.46901924361232217
19267.0,0.46901858686638714
19267.5,0.4690179060894453
19268.0,0.469017179707406
19268.5,0.4690164271328635
19269.0,0.4690156024065775
19269.5,0.4690147304986477
19270.0,0.46901382065575736
19270.5,0.46901286104816825
19271.0,0.4690117937599967
19271.5,0.4690106769114063
19272.0,0.469009513664551
19272.5,0.4690082525637856
19273.0,0.46900690675640033
19273.5,0.4690054630210854
19274.0,0.46900396688950236
19274.5,0.46900236608983037
